country_name,country_code,year,gdp_per_capita,population,region
Turkmenistan,TKM,2024,6856.65802730208,7494498,Europe & Central Asia
Mongolia,MNG,2024,6750.6301157724,3524788,East Asia & Pacific
Equatorial Guinea,GNQ,2024,6745.40013244916,1892516,Sub-Saharan Africa
Libya,LBY,2024,6569.16408678648,7381023,Middle East & North Africa
Fiji,FJI,2024,6425.74151715712,928784,East Asia & Pacific
Paraguay,PRY,2024,6416.09708970845,6929153,Latin America & Caribbean
South Africa,ZAF,2024,6267.186814093,64007187,Sub-Saharan Africa
Guatemala,GTM,2024,6150.02571438505,18406359,Latin America & Caribbean
Iraq,IRQ,2024,6073.61032342708,46042015,Middle East & North Africa
Algeria,DZA,2024,5752.99076651465,46814308,Middle East & North Africa
El Salvador,SLV,2024,5579.65969165029,6338193,Latin America & Caribbean
Samoa,WSM,2024,5392.87761915762,218019,East Asia & Pacific
Ukraine,UKR,2024,5389.47314453125,37860221,Europe & Central Asia
Cabo Verde,CPV,2024,5192.48157325878,524877,Sub-Saharan Africa
"Iran, Islamic Rep.",IRN,2024,5190.16959024821,91567738,Middle East & North Africa
Indonesia,IDN,2024,4925.43048751861,283487931,East Asia & Pacific
Viet Nam,VNM,2024,4717.29028732449,100987686,East Asia & Pacific
Jordan,JOR,2024,4618.09592498567,11552876,Middle East & North Africa
Sri Lanka,LKA,2024,4515.56787322732,21916000,South Asia
Bolivia,BOL,2024,4421.16609889999,12413315,Latin America & Caribbean
Namibia,NAM,2024,4413.12752211572,3030131,Sub-Saharan Africa
"Venezuela, RB",VEN,2024,4217.59102643391,28405543,Latin America & Caribbean
Tunisia,TUN,2024,4181.13789301228,12277109,Middle East & North Africa
"Micronesia, Fed. Sts.",FSM,2024,4166.00476748564,113160,East Asia & Pacific
Morocco,MAR,2024,4153.1943359375,38081173,Middle East & North Africa
Philippines,PHL,2024,3984.8315387656,115843670,East Asia & Pacific
Eswatini,SWZ,2024,3909.55892378182,1242822,Sub-Saharan Africa
Djibouti,DJI,2024,3552.72335079222,1168722,Middle East & North Africa
Sao Tome and Principe,STP,2024,3490.56883486557,235536,Sub-Saharan Africa
Honduras,HND,2024,3426.43483328923,10825703,Latin America & Caribbean
Vanuatu,VUT,2024,3410.77023167097,327777,East Asia & Pacific
"Egypt, Arab Rep.",EGY,2024,3338.47371395895,116538258,Middle East & North Africa
Uzbekistan,UZB,2024,3161.70010632875,36361859,Europe & Central Asia
Papua New Guinea,PNG,2024,3006.70564478923,10576502,East Asia & Pacific
Nicaragua,NIC,2024,2847.53966339498,6916140,Latin America & Caribbean
Cote d'Ivoire,CIV,2024,2727.8935220697,31934230,Sub-Saharan Africa
India,IND,2024,2694.73780859961,1450935791,South Asia
Angola,AGO,2024,2665.87444776753,37885849,Sub-Saharan Africa
Cambodia,KHM,2024,2627.87969756224,17638801,East Asia & Pacific
Bangladesh,BGD,2024,2593.41611680774,173562364,South Asia
West Bank and Gaza,PSE,2024,2592.30591217647,5289152,Middle East & North Africa
Zimbabwe,ZWE,2024,2497.20332208763,16634373,Sub-Saharan Africa
"Congo, Rep.",COG,2024,2482.2489948456,6332961,Sub-Saharan Africa
Kyrgyz Republic,KGZ,2024,2420.18542283831,7221868,Europe & Central Asia
Ghana,GHA,2024,2390.77237652715,34427414,Sub-Saharan Africa
Kiribati,KIR,2024,2288.63471423684,134518,East Asia & Pacific
Haiti,HTI,2024,2142.62330526788,11772557,Latin America & Caribbean
Kenya,KEN,2024,2132.43452097647,56432944,Sub-Saharan Africa
Lao PDR,LAO,2024,2123.97909415109,7769819,East Asia & Pacific
Mauritania,MRT,2024,2110.12036938187,5169395,Sub-Saharan Africa
Solomon Islands,SLB,2024,1933.55538435227,819198,East Asia & Pacific
Cameroon,CMR,2024,1830.00833684727,29123744,Sub-Saharan Africa
Senegal,SEN,2024,1773.21829923448,18501984,Sub-Saharan Africa
Guinea,GIN,2024,1694.95375862193,14754785,Sub-Saharan Africa
Comoros,COM,2024,1662.75663312504,866628,Sub-Saharan Africa
Benin,BEN,2024,1485.38018885134,14462724,Sub-Saharan Africa
Pakistan,PAK,2024,1478.77277977996,251269164,South Asia
Nepal,NPL,2024,1447.31004458428,29651054,South Asia
Myanmar,MMR,2024,1359.05001560107,54500091,East Asia & Pacific
Tajikistan,TJK,2024,1341.20229027672,10590927,Europe & Central Asia
Timor-Leste,TLS,2024,1331.9705130185,1400638,East Asia & Pacific
Zambia,ZMB,2024,1187.10943350064,21314956,Sub-Saharan Africa
Tanzania,TZA,2024,1186.71691894531,68560157,Sub-Saharan Africa
Ethiopia,ETH,2024,1133.88279681719,132059767,Sub-Saharan Africa
Togo,TGO,2024,1119.38160509429,9515236,Sub-Saharan Africa
Mali,MLI,2024,1094.61949265799,24478595,Sub-Saharan Africa
Nigeria,NGA,2024,1084.16041805436,232679478,Sub-Saharan Africa
Uganda,UGA,2024,1077.91278452817,50015092,Sub-Saharan Africa
Guinea-Bissau,GNB,2024,1007.74151728028,2201352,Sub-Saharan Africa
Rwanda,RWA,2024,999.65456165547,14256567,Sub-Saharan Africa
Sudan,SDN,2024,984.607666015625,50448963,Sub-Saharan Africa
Burkina Faso,BFA,2024,981.992649769081,23548781,Sub-Saharan Africa
Lesotho,LSO,2024,971.90771824829,2337423,Sub-Saharan Africa
Chad,TCD,2024,961.55975562506,20299123,Sub-Saharan Africa
"Gambia, The",GMB,2024,871.340291776294,2759988,Sub-Saharan Africa
Liberia,LBR,2024,851.497723870206,5612817,Sub-Saharan Africa
Sierra Leone,SLE,2024,806.654650417726,8642022,Sub-Saharan Africa
Niger,NER,2024,735.270255787226,27032412,Sub-Saharan Africa
Mozambique,MOZ,2024,656.776824637306,34631766,Sub-Saharan Africa
"Congo, Dem. Rep.",COD,2024,649.383338556725,109276265,Sub-Saharan Africa
"Somalia, Fed. Rep.",SOM,2024,629.538899449007,19009151,Sub-Saharan Africa
Madagascar,MDG,2024,544.987501003384,31964956,Sub-Saharan Africa
Malawi,MWI,2024,522.570393642547,21655286,Sub-Saharan Africa
Central African Republic,CAF,2024,516.160999996036,5330690,Sub-Saharan Africa
Burundi,BDI,2024,219.424830882698,14047786,Sub-Saharan Africa
