country_name,country_code,year,export_value_usd
Bosnia Herzegovina,BIH,2024,601373.115
Botswana,BWA,2018,49636.678
Botswana,BWA,2019,7008.202
Botswana,BWA,2020,20080.948
Botswana,BWA,2021,21273.95
Botswana,BWA,2022,18200.893
Botswana,BWA,2023,81941.78
Botswana,BWA,2024,37753.888
Br. Virgin Isds,VGB,2018,753226.633
Br. Virgin Isds,VGB,2019,797347.55
Br. Virgin Isds,VGB,2020,461836.673
Br. Virgin Isds,VGB,2021,622096.566
Br. Virgin Isds,VGB,2022,660336.257
Br. Virgin Isds,VGB,2023,342993.544
Br. Virgin Isds,VGB,2024,231358.226
Brazil,BRA,2018,41677700.682
Brazil,BRA,2019,39293238.934
Brazil,BRA,2020,39637213.171
Brazil,BRA,2021,42216640.371
Brazil,BRA,2022,37876047.859
Brazil,BRA,2023,39763344.258
Brazil,BRA,2024,43288854.242
Brunei Darussalam,BRN,2019,6087.956
Bulgaria,BGR,2018,8275261.174
Bulgaria,BGR,2019,9677723.572
Bulgaria,BGR,2020,8416649.293
Bulgaria,BGR,2021,12254555.677
Bulgaria,BGR,2022,14781361.402
Bulgaria,BGR,2023,16439824.352
Bulgaria,BGR,2024,17602114.133
Bunkers,X1,2018,3333322.97
Bunkers,X1,2019,3558736.999
Bunkers,X1,2020,699982.254
Bunkers,X1,2021,1489647.228
Bunkers,X1,2022,4395987.31
Bunkers,X1,2023,2304325.075
Bunkers,X1,2024,18880.612
Burkina Faso,BFA,2018,64096.278
Burkina Faso,BFA,2019,102741.809
Burkina Faso,BFA,2020,111595.976
Burkina Faso,BFA,2021,92809.632
Burkina Faso,BFA,2022,154217.919
Burkina Faso,BFA,2023,99082.05
Burkina Faso,BFA,2024,120124.198
Burundi,BDI,2018,17341.129
Burundi,BDI,2019,7953.078
Burundi,BDI,2022,10492.577
Burundi,BDI,2024,21003.606
Cabo Verde,CPV,2018,95389.197
Cabo Verde,CPV,2019,72540.489
Cabo Verde,CPV,2020,53927.642
Cabo Verde,CPV,2021,27263.347
Cabo Verde,CPV,2022,139711.121
Cabo Verde,CPV,2023,168925.515
Cabo Verde,CPV,2024,126496.494
Cambodia,KHM,2018,938702.544
Cambodia,KHM,2019,1279043.889
Cambodia,KHM,2020,603433.569
Cambodia,KHM,2021,564305.508
Cambodia,KHM,2022,1137566.313
Cambodia,KHM,2023,797508.052
Cambodia,KHM,2024,932577.314
Cameroon,CMR,2018,110004.684
Cameroon,CMR,2019,285228.225
Cameroon,CMR,2020,665632.994
Cameroon,CMR,2021,922189.716
Cameroon,CMR,2022,1436929.084
Cameroon,CMR,2023,1935935.775
Cameroon,CMR,2024,1879578.627
Canada,CAN,2018,393704986.042
Canada,CAN,2019,382731640.065
Canada,CAN,2020,395396296.556
Canada,CAN,2021,453862637.627
Canada,CAN,2022,450028296.237
Canada,CAN,2023,420444182.733
Canada,CAN,2024,468334860.201
Cayman Isds,CYM,2018,2059958.138
Cayman Isds,CYM,2019,1752750.207
Cayman Isds,CYM,2020,1710172.378
Cayman Isds,CYM,2021,1431416.191
Cayman Isds,CYM,2022,2396037.351
Cayman Isds,CYM,2023,2566512.172
Cayman Isds,CYM,2024,2263794.57
Central African Rep.,CAF,2018,1404.154
Chad,TCD,2023,1128.844
Chile,CHL,2018,2365832.31
Chile,CHL,2019,3264604.104
Chile,CHL,2020,2380141.148
Chile,CHL,2021,4751151.8
Chile,CHL,2022,6580212.354
Chile,CHL,2023,3612880.684
Chile,CHL,2024,3689551.109
China,CHN,2018,149852945.367
China,CHN,2019,149432929.492
China,CHN,2020,111983766.179
China,CHN,2021,149735779.55
China,CHN,2022,117464882.031
China,CHN,2023,108284908.872
China,CHN,2024,93714542.107
"China, Hong Kong SAR",HKG,2018,34109624.287
"China, Hong Kong SAR",HKG,2019,29843103.923
"China, Hong Kong SAR",HKG,2020,27335986.121
"China, Hong Kong SAR",HKG,2021,34888743.329
"China, Hong Kong SAR",HKG,2022,28774812.865
"China, Hong Kong SAR",HKG,2023,27343102.481
"China, Hong Kong SAR",HKG,2024,23382180.058
"China, Macao SAR",MAC,2018,108600.53
"China, Macao SAR",MAC,2019,128980.025
"China, Macao SAR",MAC,2020,162917.126
"China, Macao SAR",MAC,2021,103559.559
"China, Macao SAR",MAC,2022,107683.7
"China, Macao SAR",MAC,2023,194906.238
"China, Macao SAR",MAC,2024,123650.298
Colombia,COL,2018,3236202.494
Colombia,COL,2019,3813631.8
Colombia,COL,2020,4509818.132
Colombia,COL,2021,6157587.333
Colombia,COL,2022,7880837.982
Colombia,COL,2023,7109846.129
Colombia,COL,2024,7921343.999
Congo,COG,2018,116114.94
Congo,COG,2019,152395.928
Congo,COG,2020,296582.613
Congo,COG,2021,230582.32
Congo,COG,2022,132598.83
Congo,COG,2023,194511.575
Congo,COG,2024,251060.371
Cook Isds,COK,2019,9278.591
Cook Isds,COK,2020,1200.448
Cook Isds,COK,2022,5907.603
Cook Isds,COK,2023,10793.223
Cook Isds,COK,2024,2578.82
Costa Rica,CRI,2018,2762485.235
Costa Rica,CRI,2019,2514136.5
Costa Rica,CRI,2020,2809753.046
Costa Rica,CRI,2021,4128159.9
Costa Rica,CRI,2022,4317086.588
Costa Rica,CRI,2023,4057184.773
Costa Rica,CRI,2024,5092177.903
Croatia,HRV,2018,5292131.217
Croatia,HRV,2019,5627639.962
Croatia,HRV,2020,3480476.807
Croatia,HRV,2021,6553062.576
Croatia,HRV,2022,8629116.436
Croatia,HRV,2023,10995202.181
Croatia,HRV,2024,16257919.992
Cuba,CUB,2018,1015197.658
Cuba,CUB,2019,1133173.65
Cuba,CUB,2020,494761.615
Cuba,CUB,2021,100292.83
Cuba,CUB,2022,439123.385
Cuba,CUB,2023,840560.925
Cuba,CUB,2024,334826.451
Curaçao,CUW,2018,1392569.147
Curaçao,CUW,2019,519889.921
Curaçao,CUW,2020,363797.421
Curaçao,CUW,2021,731391.232
Curaçao,CUW,2022,647852.366
Curaçao,CUW,2024,480127.942
Cyprus,CYP,2018,7445194.588
Cyprus,CYP,2019,6990642.335
Cyprus,CYP,2020,4801563.545
Cyprus,CYP,2021,8725710.398
Cyprus,CYP,2022,11207747.155
Cyprus,CYP,2023,14244439.253
Cyprus,CYP,2024,12527541.578
Czechia,CZE,2018,57354485.945
Czechia,CZE,2019,59541119.033
Czechia,CZE,2020,65533203.098
Czechia,CZE,2021,79403401.996
Czechia,CZE,2022,82629245.67
Czechia,CZE,2023,105948063.561
Czechia,CZE,2024,110195299.949
Côte d'Ivoire,CIV,2018,622319.063
Côte d'Ivoire,CIV,2019,362984.562
Côte d'Ivoire,CIV,2020,220479.236
Côte d'Ivoire,CIV,2021,295899.153
Côte d'Ivoire,CIV,2022,418147.709
Côte d'Ivoire,CIV,2023,826010.293
Côte d'Ivoire,CIV,2024,497178.964
Dem. People's Rep. of Korea,PRK,2019,65852.47
Dem. People's Rep. of Korea,PRK,2022,4604.982
Dem. Rep. of the Congo,COD,2018,46918.121
Dem. Rep. of the Congo,COD,2019,11306.043
Dem. Rep. of the Congo,COD,2020,23179.726
Dem. Rep. of the Congo,COD,2021,413643.317
Dem. Rep. of the Congo,COD,2022,263110.518
Dem. Rep. of the Congo,COD,2023,1337534.689
Dem. Rep. of the Congo,COD,2024,131635.105
Denmark,DNK,2018,171548296.177
Denmark,DNK,2019,166643263.396
Denmark,DNK,2020,175124912.739
