typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","44","BHS","Bahamas","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","323433","true","-1","N/A","0","false","323441","false","0","false",,"1954794.185","1954794.185","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","48","BHR","Bahrain","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","68373","true","-1","N/A","0","false","68381","false","0","false",,"339572.694","339572.694","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","50","BGD","Bangladesh","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","18653","false","7","l","18653","false","18653","false","0","false",,"78170.888","78170.888","0","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","51","ARM","Armenia","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","54636","true","-1","N/A","0","false","54653","false","0","false",,"273089.708","273089.708","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","52","BRB","Barbados","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","158615","true","-1","N/A","0","false","158615","false","0","false",,"925314.069","925314.069","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","56","BEL","Belgium","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","36904728","true","-1","N/A","0","false","38161852","false","0","false",,"157831235.581","157831235.581","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","60","BMU","Bermuda","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","268696","true","-1","N/A","0","false","268724","false","0","false",,"2027936.571","2027936.571","2","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","64","BTN","Bhutan","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","7695","false","7","l","7695","false","7695","false","0","false",,"30284.384","30284.384","0","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","68","BOL","Bolivia (Plurinational State of)","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","4887","false","7","l","4887","false","4887","false","0","false",,"25737.711","25737.711","0","false","true",
"C","A","20180101","2018","52","2018","380","ITA","Italy","X","Export","70","BIH","Bosnia Herzegovina","0","W00","World","H5","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","92985","false","7","l","92985","false","92971","false","0","false",,"181158.344","181158.344","0","false","true",
