country_name,country_code,year,import_value_usd
Comoros,COM,2023,54062.177
Congo,COG,2018,4067905.816
Congo,COG,2019,4079907.457
Congo,COG,2020,3009130.92
Congo,COG,2021,4420084.28
Congo,COG,2022,3526428.946
Congo,COG,2023,5864281.217
Costa Rica,CRI,2018,27601521.68
Costa Rica,CRI,2019,28570793.51
Costa Rica,CRI,2020,26361923.06
Costa Rica,CRI,2021,35126008.88
Costa Rica,CRI,2022,39974953.57
Costa Rica,CRI,2023,39586388.85
Costa Rica,CRI,2024,38388242.91
Croatia,HRV,2018,35967086
Croatia,HRV,2019,35806711
Croatia,HRV,2020,31321758
Croatia,HRV,2021,41747046
Croatia,HRV,2022,41997391
Croatia,HRV,2023,49343431
Croatia,HRV,2024,60461040
Cuba,CUB,2018,15388769.53
Cuba,CUB,2019,11761593.48
Cuba,CUB,2020,7861868.53
Cuba,CUB,2021,5020419.97
Cuba,CUB,2022,14943222.07
Curaçao,CUW,2018,7607862.715
Curaçao,CUW,2019,7355847.56
Curaçao,CUW,2020,4435249.667
Cyprus,CYP,2018,30359408.022
Cyprus,CYP,2019,28998545.694
Cyprus,CYP,2020,22712060.325
Cyprus,CYP,2021,34892473.692
Cyprus,CYP,2022,38471745.885
Cyprus,CYP,2023,41340841.648
Cyprus,CYP,2024,42786296.096
Czechia,CZE,2018,263411476
Czechia,CZE,2019,256829436
Czechia,CZE,2020,269794046
Czechia,CZE,2021,294487808
Czechia,CZE,2022,284392639
Czechia,CZE,2023,307995715
Czechia,CZE,2024,316627987
Côte d'Ivoire,CIV,2018,41799326.603
Côte d'Ivoire,CIV,2019,39914398.097
Côte d'Ivoire,CIV,2020,36641961.88
Côte d'Ivoire,CIV,2021,54262092.967
Côte d'Ivoire,CIV,2022,52732692.017
Côte d'Ivoire,CIV,2023,64122695.428
Côte d'Ivoire,CIV,2024,53419442.471
Dem. Rep. of the Congo,COD,2018,2165622.321
Dem. Rep. of the Congo,COD,2019,2053541.056
Dem. Rep. of the Congo,COD,2020,1486647.308
Dem. Rep. of the Congo,COD,2021,2443306.799
Dem. Rep. of the Congo,COD,2022,4814500.306
Dem. Rep. of the Congo,COD,2023,7248185.11
Denmark,DNK,2018,749387687.829
Denmark,DNK,2019,732103614.623
Denmark,DNK,2020,777540550.24
Denmark,DNK,2021,1007325126.664
Denmark,DNK,2022,824863354.55
Denmark,DNK,2023,785397589.686
Denmark,DNK,2024,782564645.419
Djibouti,DJI,2021,1091010.319
Djibouti,DJI,2022,732206.606
Djibouti,DJI,2023,399523.094
Dominica,DMA,2018,1053370.648
Dominica,DMA,2019,954158.826
Dominica,DMA,2020,915398.344
Dominica,DMA,2021,642131.21
Dominica,DMA,2022,760794.795
Dominica,DMA,2023,718992.614
Dominican Rep.,DOM,2018,57879333.89
Dominican Rep.,DOM,2019,61893294.859
Dominican Rep.,DOM,2020,46936309.63
Dominican Rep.,DOM,2021,79027795.264
Dominican Rep.,DOM,2022,96885000.655
Dominican Rep.,DOM,2023,79248155.218
Dominican Rep.,DOM,2024,93436605.783
Ecuador,ECU,2018,21928248.766
Ecuador,ECU,2019,22626139.522
Ecuador,ECU,2020,20174310.35
Ecuador,ECU,2021,31958158.41
Ecuador,ECU,2022,38064452.4
Ecuador,ECU,2023,30267387.9
Ecuador,ECU,2024,30931386.739
Egypt,EGY,2019,625.523
Egypt,EGY,2020,13629.629
Egypt,EGY,2021,29496.82
Egypt,EGY,2022,8083.693
Egypt,EGY,2023,14451.351
Egypt,EGY,2024,28427.958
El Salvador,SLV,2018,5586550.36
El Salvador,SLV,2019,5900185.91
El Salvador,SLV,2020,5232919.73
El Salvador,SLV,2021,7593381.83
El Salvador,SLV,2022,9668005.87
El Salvador,SLV,2023,9007521.54
El Salvador,SLV,2024,8003949.97
Estonia,EST,2018,87430281.431
Estonia,EST,2019,82989549.845
Estonia,EST,2020,75924411.86
Estonia,EST,2021,90642478.74
Estonia,EST,2022,94385632.29
Estonia,EST,2023,94189012.54
Estonia,EST,2024,108570265.98
Eswatini,SWZ,2018,4868761.348
Eswatini,SWZ,2019,4713397.08
Eswatini,SWZ,2020,4877374.98
Eswatini,SWZ,2021,6903058.71
Eswatini,SWZ,2022,8293986.31
Eswatini,SWZ,2023,6885042.46
Ethiopia,ETH,2018,1929056.775
Ethiopia,ETH,2019,2117490.19
Ethiopia,ETH,2020,1593241.45
Ethiopia,ETH,2021,1454211.67
Ethiopia,ETH,2022,1591448.986
Ethiopia,ETH,2023,1895557.326
Fiji,FJI,2018,8064052.283
Fiji,FJI,2019,5976938.949
Fiji,FJI,2020,2427753.031
Fiji,FJI,2021,3746341.163
Fiji,FJI,2022,10302238.117
Fiji,FJI,2023,8429532.497
Fiji,FJI,2024,8903644.08
Finland,FIN,2018,263573573.226
Finland,FIN,2019,241216945.778
Finland,FIN,2020,246751958.794
Finland,FIN,2021,250349785.114
Finland,FIN,2022,255574273.831
Finland,FIN,2023,250861592.453
Finland,FIN,2024,251796850.284
France,FRA,2018,1134344549.593
France,FRA,2019,989876579.944
France,FRA,2020,963767332.58
France,FRA,2021,997998235.744
France,FRA,2022,1085031837.394
France,FRA,2023,1079685101.274
France,FRA,2024,988100415.744
French Polynesia,PYF,2018,12966579.3
French Polynesia,PYF,2019,13142488.145
French Polynesia,PYF,2020,13517564.668
French Polynesia,PYF,2021,15827469.907
French Polynesia,PYF,2022,15188387.411
French Polynesia,PYF,2023,15337165.214
French Polynesia,PYF,2024,15602318.294
Gabon,GAB,2018,9650428.705
Gabon,GAB,2019,8174453.884
Gabon,GAB,2020,7038526.524
Gabon,GAB,2021,8779231.058
Gabon,GAB,2022,9283762.69
Gabon,GAB,2023,9156403.758
Gambia,GMB,2018,33536.079
Gambia,GMB,2019,20991.568
Gambia,GMB,2020,26403.413
Gambia,GMB,2021,30676.26
Gambia,GMB,2022,17590.884
Gambia,GMB,2023,56143.39
Gambia,GMB,2024,58658.194
Georgia,GEO,2018,3403544.58
Georgia,GEO,2019,3461453.74
Georgia,GEO,2020,2857476.17
Georgia,GEO,2021,3913556.34
Georgia,GEO,2022,5014740.877
Georgia,GEO,2023,5947922.453
Georgia,GEO,2024,7432579.169
Germany,DEU,2018,3161442061.241
Germany,DEU,2019,2974649228.703
Germany,DEU,2020,3026462041.502
Germany,DEU,2021,3406239144.204
Germany,DEU,2022,2985788939.389
Germany,DEU,2023,2980388434.971
Germany,DEU,2024,2666902895.905
Ghana,GHA,2018,6781643.232
Ghana,GHA,2019,6063205.744
Ghana,GHA,2021,26045980.629
Ghana,GHA,2022,22739434.986
Ghana,GHA,2023,21611304.55
Greece,GRC,2018,49870385.033
Greece,GRC,2019,54158461.955
Greece,GRC,2020,33232719.172
Greece,GRC,2021,63626241.179
Greece,GRC,2022,73223570.105
Greece,GRC,2023,82892636.641
Greece,GRC,2024,77818538.721
Greenland,GRL,2018,3136091.11
Grenada,GRD,2018,2280815.867
Grenada,GRD,2019,1761561.993
Grenada,GRD,2020,1426924.929
Grenada,GRD,2021,1283606.295
Grenada,GRD,2022,2502856.294
Grenada,GRD,2023,2528835.387
Grenada,GRD,2024,2323821.75
Guatemala,GTM,2018,12385003
Guatemala,GTM,2019,15315851
Guatemala,GTM,2020,12958316
Guatemala,GTM,2021,21036717
Guatemala,GTM,2022,24328223
Guatemala,GTM,2023,18422247
Guatemala,GTM,2024,22686943
Guinea-Bissau,GNB,2018,3552406.554
Guyana,GUY,2018,512312.385
Guyana,GUY,2019,634911.406
Guyana,GUY,2020,1012441.702
Guyana,GUY,2021,1473136.923
Guyana,GUY,2022,1877950.314
Guyana,GUY,2023,1827391.109
Guyana,GUY,2024,945042.92
Honduras,HND,2018,5096977.83
Honduras,HND,2019,4795898.33
Honduras,HND,2020,4002091.4
Honduras,HND,2021,7279359.17
Honduras,HND,2023,6659015.83
Honduras,HND,2024,6995891.35
Hungary,HUN,2018,20043822
Hungary,HUN,2019,24587106
Hungary,HUN,2020,23460996
Hungary,HUN,2021,26970640
Hungary,HUN,2022,26761434
Hungary,HUN,2023,25838717
Hungary,HUN,2024,35009230
Iceland,ISL,2018,25430421.351
Iceland,ISL,2019,26169434.393
Iceland,ISL,2020,30975175.416
Iceland,ISL,2021,37946416.509
Iceland,ISL,2022,34747036.795
Iceland,ISL,2023,37493808.631
Iceland,ISL,2024,32143949.387
India,IND,2018,27348271.073
India,IND,2019,21740467.853
India,IND,2020,13173116.031
India,IND,2021,23512494.991
India,IND,2022,33400168.646
India,IND,2023,435869531.94
India,IND,2024,25653791.688
Indonesia,IDN,2018,18646024
Indonesia,IDN,2019,14006611
Indonesia,IDN,2020,4254414
Indonesia,IDN,2021,8478951
Indonesia,IDN,2022,11059079
Indonesia,IDN,2023,16595783
Indonesia,IDN,2024,13056840
Ireland,IRL,2018,326881423.153
Ireland,IRL,2019,322820185.792
Ireland,IRL,2020,395615351.474
Ireland,IRL,2021,350043146.803
Ireland,IRL,2022,336004178.997
Ireland,IRL,2023,374081916.639
Ireland,IRL,2024,357943040.612
Israel,ISR,2018,40776000
Israel,ISR,2019,43472000
Israel,ISR,2020,52074000
Israel,ISR,2021,77790000
Israel,ISR,2022,78862000
Israel,ISR,2023,77565000
Israel,ISR,2024,77633000
Italy,ITA,2018,414014440.095
Italy,ITA,2019,373330985.259
Italy,ITA,2020,329104282.399
Italy,ITA,2021,509110986.312
Italy,ITA,2022,494791802.342
Italy,ITA,2023,620401075.831
Italy,ITA,2024,566883358.558
Jamaica,JAM,2018,10431593.84
Jamaica,JAM,2019,10613884.083
Jamaica,JAM,2020,6002412.49
Jamaica,JAM,2021,9902055.19
Jamaica,JAM,2022,15568341.21
Jamaica,JAM,2023,13575511.48
Japan,JPN,2018,1689399387.454
Japan,JPN,2019,1810463541.221
Japan,JPN,2020,1565352201.404
Japan,JPN,2021,1706817979.281
Japan,JPN,2022,1868444893.967
Japan,JPN,2023,1783493168.134
Japan,JPN,2024,1644449477.057
Jordan,JOR,2018,2032101.835
Jordan,JOR,2019,2267407.518
Jordan,JOR,2020,2526373.77
Jordan,JOR,2021,2953121.766
Jordan,JOR,2022,5470215.843
Jordan,JOR,2023,3338125.413
Kazakhstan,KAZ,2018,41699851.85
Kazakhstan,KAZ,2019,36229132.4
Kazakhstan,KAZ,2020,35896770.16
Kazakhstan,KAZ,2021,46986391.78
Kazakhstan,KAZ,2022,48883121.58
Kazakhstan,KAZ,2023,58358282.17
Kazakhstan,KAZ,2024,52623614.75
Kenya,KEN,2018,23426291.064
Kenya,KEN,2019,21173343.11
Kenya,KEN,2020,17584971.948
Kenya,KEN,2021,21512732.411
Kenya,KEN,2022,22525935
Kenya,KEN,2023,24000497.787
Kenya,KEN,2024,22686924.705
Kiribati,KIR,2018,46964.845
Kiribati,KIR,2020,36344.394
Kiribati,KIR,2021,55165.528
Kuwait,KWT,2018,941
Kuwait,KWT,2024,46634
Kyrgyzstan,KGZ,2018,2969307
Kyrgyzstan,KGZ,2019,2836913
Kyrgyzstan,KGZ,2020,2318303
Kyrgyzstan,KGZ,2021,3224040
Kyrgyzstan,KGZ,2022,3140767
Kyrgyzstan,KGZ,2023,3679812
Kyrgyzstan,KGZ,2024,3936051
Lao People's Dem. Rep.,LAO,2018,3353839
Lao People's Dem. Rep.,LAO,2019,3391860.22
Lao People's Dem. Rep.,LAO,2020,1278723.43
Lao People's Dem. Rep.,LAO,2021,1879143.84
Lao People's Dem. Rep.,LAO,2022,1767119.34
Lao People's Dem. Rep.,LAO,2023,1938711.13
Latvia,LVA,2018,110267248.011
Latvia,LVA,2019,126551950.895
Latvia,LVA,2020,145952917.578
Latvia,LVA,2021,143820947.3
Latvia,LVA,2022,162279383.069
Latvia,LVA,2023,188035055.604
Latvia,LVA,2024,172057511.177
Lebanon,LBN,2018,14243294
Lebanon,LBN,2019,10877523.23
Lebanon,LBN,2020,2811408
Lebanon,LBN,2021,4648974
Lebanon,LBN,2022,7860256
Lebanon,LBN,2023,8155476
Lebanon,LBN,2024,8027252
