country_name,country_code,year,total_imports_usd,italian_exports_usd,italian_market_share_pct
China,CHN,2019,2434144606,149432929.492,6.139032542424064
China,CHN,2020,1825074464,111983766.179,6.135846420949101
China,CHN,2021,1689521020,149735779.55,8.862617142816017
China,CHN,2022,1434947479,117464882.031,8.186005672685669
China,CHN,2023,1160277727,108284908.872,9.332671510637383
China,CHN,2024,1591749689,93714542.107,5.8875175383809975
"China, Hong Kong SAR",HKG,2018,1538652672.579,34109624.287,2.216850163450302
"China, Hong Kong SAR",HKG,2019,1124313945.076,29843103.923,2.65433903525787
"China, Hong Kong SAR",HKG,2020,968173946.699,27335986.121,2.8234581414013826
"China, Hong Kong SAR",HKG,2021,1363866940.788,34888743.329,2.558075299401448
"China, Hong Kong SAR",HKG,2022,1019876582.192,28774812.865,2.821401468318341
"China, Hong Kong SAR",HKG,2023,968997967.902,27343102.481,2.821791519356969
"China, Hong Kong SAR",HKG,2024,828999930.094,23382180.058,2.8205285922459247
"China, Macao SAR",MAC,2018,118607318.728,108600.53,0.09156309337794881
"China, Macao SAR",MAC,2019,117550490.32,128980.025,0.10972308550043995
"China, Macao SAR",MAC,2020,85351182.252,162917.126,0.19087858152800505
"China, Macao SAR",MAC,2021,225962963.324,103559.559,0.04583032434899951
"China, Macao SAR",MAC,2022,368243788.11,107683.7,0.029242502786722704
"China, Macao SAR",MAC,2023,400819841.939,194906.238,0.04862689358319302
"China, Macao SAR",MAC,2024,230207641.959,123650.298,0.05371250795489323
Colombia,COL,2018,57184891.7,3236202.494,5.659191436398226
Colombia,COL,2019,65842256.53,3813631.8,5.792073359852693
Colombia,COL,2020,69605520.92,4509818.132,6.479109806797205
Colombia,COL,2021,77839368.72,6157587.333,7.910633698931672
Colombia,COL,2022,108404568.99,7880837.982,7.269839320819573
Colombia,COL,2023,74761403.61,7109846.129,9.510049016855262
Colombia,COL,2024,80714561.02,7921343.999,9.814021037712385
Comoros,COM,2018,125596.376,0,0
Comoros,COM,2019,170555.173,0,0
Comoros,COM,2020,121928.609,0,0
Comoros,COM,2021,35665.962,0,0
Comoros,COM,2022,41188.672,0,0
Comoros,COM,2023,54062.177,0,0
Congo,COG,2018,4067905.816,116114.94,2.8544156441207043
Congo,COG,2019,4079907.457,152395.928,3.7352790377274485
Congo,COG,2020,3009130.92,296582.613,9.856088714146077
Congo,COG,2021,4420084.28,230582.32,5.21669509885454
Congo,COG,2022,3526428.946,132598.83,3.7601446684586053
Congo,COG,2023,5864281.217,194511.575,3.3168868920564254
Costa Rica,CRI,2018,27601521.68,2762485.235,10.008452675280184
Costa Rica,CRI,2019,28570793.51,2514136.5,8.799673341659316
Costa Rica,CRI,2020,26361923.06,2809753.046,10.658376627550934
Costa Rica,CRI,2021,35126008.88,4128159.9,11.752430838649836
Costa Rica,CRI,2022,39974953.57,4317086.588,10.799478679669672
Costa Rica,CRI,2023,39586388.85,4057184.773,10.248938816756963
Costa Rica,CRI,2024,38388242.91,5092177.903,13.264941338780334
Croatia,HRV,2018,35967086,5292131.217,14.713817007582989
Croatia,HRV,2019,35806711,5627639.962,15.716718472132222
Croatia,HRV,2020,31321758,3480476.807,11.112009763308944
Croatia,HRV,2021,41747046,6553062.576,15.69706890398904
Croatia,HRV,2022,41997391,8629116.436,20.54679167093975
Croatia,HRV,2023,49343431,10995202.181,22.28301104761037
Croatia,HRV,2024,60461040,16257919.992,26.889911242016346
Cuba,CUB,2018,15388769.53,1015197.658,6.597003457754689
Cuba,CUB,2019,11761593.48,1133173.65,9.634524879021749
